Voxel,Best_Alpha
"(6, 33, 39)",5.0
"(6, 34, 38)",5.0
"(7, 31, 47)",5.0
"(7, 31, 48)",5.0
"(7, 32, 47)",5.0
"(7, 32, 48)",5.0
"(7, 32, 49)",5.0
"(7, 32, 50)",5.0
"(8, 27, 32)",5.0
"(8, 27, 33)",5.0
"(8, 28, 32)",5.0
"(8, 28, 33)",5.0
"(8, 28, 34)",5.0
"(8, 28, 36)",5.0
"(8, 28, 37)",5.0
"(8, 28, 38)",5.0
"(8, 28, 43)",5.0
"(8, 28, 44)",5.0
"(8, 28, 45)",5.0
"(8, 28, 46)",5.0
"(8, 29, 32)",5.0
"(8, 29, 33)",5.0
"(8, 29, 34)",5.0
"(8, 29, 38)",5.0
"(8, 29, 39)",5.0
"(8, 29, 43)",5.0
"(8, 29, 44)",5.0
"(8, 29, 45)",5.0
"(8, 29, 46)",5.0
"(8, 29, 47)",5.0
"(8, 29, 48)",5.0
"(8, 29, 49)",5.0
"(8, 30, 32)",5.0
"(8, 30, 33)",5.0
"(8, 30, 34)",5.0
"(8, 30, 38)",5.0
"(8, 30, 39)",5.0
"(8, 30, 47)",5.0
"(8, 30, 48)",5.0
"(8, 30, 49)",5.0
"(8, 30, 50)",5.0
"(8, 30, 51)",5.0
"(8, 31, 33)",5.0
"(8, 31, 48)",5.0
"(8, 31, 49)",5.0
"(8, 31, 50)",5.0
"(8, 31, 51)",5.0
"(9, 26, 31)",5.0
"(9, 26, 32)",5.0
"(9, 26, 33)",5.0
"(9, 26, 34)",5.0
"(9, 26, 35)",5.0
"(9, 26, 36)",5.0
"(9, 26, 37)",5.0
"(9, 26, 38)",5.0
"(9, 26, 44)",5.0
"(9, 27, 31)",5.0
"(9, 27, 32)",5.0
"(9, 27, 33)",5.0
"(9, 27, 34)",5.0
"(9, 27, 35)",5.0
"(9, 27, 36)",5.0
"(9, 27, 37)",5.0
"(9, 27, 43)",5.0
"(9, 27, 44)",5.0
"(9, 27, 45)",5.0
"(9, 27, 46)",5.0
"(9, 27, 47)",5.0
"(9, 27, 48)",5.0
"(9, 27, 49)",5.0
"(9, 28, 31)",5.0
"(9, 28, 32)",5.0
"(9, 28, 33)",5.0
"(9, 28, 34)",5.0
"(9, 28, 35)",5.0
"(9, 28, 37)",5.0
"(9, 28, 39)",5.0
"(9, 28, 46)",5.0
"(9, 28, 47)",5.0
"(9, 28, 48)",5.0
"(9, 28, 49)",5.0
"(9, 28, 50)",5.0
"(9, 28, 51)",5.0
"(9, 29, 31)",5.0
"(9, 29, 32)",5.0
"(9, 29, 33)",5.0
"(9, 29, 34)",5.0
"(9, 29, 35)",5.0
"(9, 29, 38)",5.0
"(9, 29, 39)",5.0
"(9, 29, 48)",5.0
"(9, 29, 49)",5.0
"(9, 29, 50)",5.0
"(9, 29, 51)",5.0
"(9, 29, 52)",5.0
"(9, 29, 53)",5.0
"(9, 29, 54)",5.0
"(9, 30, 32)",5.0
"(9, 30, 33)",5.0
"(9, 30, 34)",5.0
"(9, 30, 52)",5.0
"(9, 30, 53)",5.0
"(9, 30, 54)",5.0
"(9, 30, 55)",5.0
"(9, 31, 54)",5.0
"(9, 31, 55)",5.0
"(9, 34, 38)",5.0
"(9, 35, 37)",5.0
"(9, 36, 35)",5.0
"(9, 36, 36)",5.0
"(9, 37, 34)",5.0
"(9, 37, 35)",5.0
"(9, 38, 34)",5.0
"(10, 24, 37)",5.0
"(10, 24, 38)",5.0
"(10, 25, 31)",5.0
"(10, 25, 32)",5.0
"(10, 25, 33)",5.0
"(10, 25, 34)",5.0
"(10, 25, 35)",5.0
"(10, 25, 36)",5.0
"(10, 25, 37)",5.0
"(10, 25, 38)",5.0
"(10, 25, 39)",5.0
"(10, 25, 43)",5.0
"(10, 25, 44)",5.0
"(10, 25, 45)",5.0
"(10, 25, 46)",5.0
"(10, 26, 30)",5.0
"(10, 26, 31)",5.0
"(10, 26, 32)",5.0
"(10, 26, 33)",5.0
"(10, 26, 34)",5.0
"(10, 26, 35)",5.0
"(10, 26, 43)",5.0
"(10, 26, 44)",5.0
"(10, 26, 45)",5.0
"(10, 26, 46)",5.0
"(10, 26, 47)",5.0
"(10, 26, 48)",5.0
"(10, 26, 49)",5.0
"(10, 27, 30)",5.0
"(10, 27, 31)",5.0
"(10, 27, 32)",5.0
"(10, 27, 33)",5.0
"(10, 27, 34)",5.0
"(10, 27, 46)",5.0
"(10, 27, 47)",5.0
"(10, 27, 48)",5.0
"(10, 27, 49)",5.0
"(10, 27, 50)",5.0
"(10, 27, 51)",5.0
"(10, 27, 52)",5.0
"(10, 27, 53)",5.0
"(10, 28, 31)",5.0
"(10, 28, 32)",5.0
"(10, 28, 33)",5.0
"(10, 28, 34)",5.0
"(10, 28, 48)",5.0
"(10, 28, 52)",5.0
"(10, 28, 53)",5.0
"(10, 28, 54)",5.0
"(10, 29, 31)",5.0
"(10, 29, 32)",5.0
"(10, 29, 33)",5.0
"(10, 29, 34)",5.0
"(10, 29, 53)",5.0
"(10, 29, 54)",5.0
