voxel,with_base_score,without_base_score
"(6, 33, 39)",0.8083623003472685,0.2802728407321866
"(6, 34, 38)",0.8083623003472683,0.2802725952320272
"(7, 31, 47)",0.8083623003472682,0.28027249343395677
"(7, 31, 48)",0.8083623003472681,0.2802724910513176
"(7, 32, 47)",0.8083623003472683,0.2802723967369509
"(7, 32, 48)",0.8083623003472687,0.2802725674126323
"(7, 32, 49)",0.8083623003472685,0.2802724892082332
"(7, 32, 50)",0.8083623003472675,0.28027256877276796
"(8, 27, 32)",0.808362300347269,0.280272659907432
"(8, 27, 33)",0.8083623003472676,0.28027240907162787
"(8, 28, 32)",0.8083623003472689,0.28027251875797154
"(8, 28, 33)",0.8083623003472681,0.280272897071277
"(8, 28, 34)",0.8083623003472693,0.28027205403436173
"(8, 28, 36)",0.8083623003472676,0.2802724701508298
"(8, 28, 37)",0.8083623003472683,0.28027262293944355
"(8, 28, 38)",0.8083623003472689,0.2802724428036747
"(8, 28, 43)",0.8083623003472683,0.2802724183993268
"(8, 28, 44)",0.8083623003472691,0.28027268143068695
"(8, 28, 45)",0.8083623003472682,0.2802725102569634
"(8, 28, 46)",0.8083623003472686,0.28027276781253774
"(8, 29, 32)",0.8083623003472689,0.2802724974620291
"(8, 29, 33)",0.8083623003472681,0.28027242422157816
"(8, 29, 34)",0.8083623003472689,0.28027218337931803
"(8, 29, 38)",0.8083623003472684,0.2802724554070105
"(8, 29, 39)",0.808362300347268,0.2802724939611121
"(8, 29, 43)",0.808362300347268,0.2802726041111351
"(8, 29, 44)",0.8083623003472676,0.28027264434526644
"(8, 29, 45)",0.808362300347268,0.2802724469172708
"(8, 29, 46)",0.8083623003472684,0.280272431170527
"(8, 29, 47)",0.8083623003472677,0.28027261218232924
"(8, 29, 48)",0.8083623003472692,0.2802724685739395
"(8, 29, 49)",0.8083623003472685,0.280272422169747
"(8, 30, 32)",0.808362300347268,0.28027278267115363
"(8, 30, 33)",0.8083623003472682,0.2802722403934641
"(8, 30, 34)",0.8083623003472685,0.28027259755096445
"(8, 30, 38)",0.8083623003472681,0.2802722619792215
"(8, 30, 39)",0.8083623003472685,0.2802727005414811
"(8, 30, 47)",0.8083623003472689,0.28027233164031473
"(8, 30, 48)",0.8083623003472669,0.28027226461383525
"(8, 30, 49)",0.8083623003472672,0.28027198576919166
"(8, 30, 50)",0.8083623003472686,0.2802727580763259
"(8, 30, 51)",0.8083623003472687,0.2802722974262166
"(8, 31, 33)",0.8083623003472687,0.2802723041602755
"(8, 31, 48)",0.808362300347269,0.280272913988734
"(8, 31, 49)",0.8083623003472684,0.2802726685500001
"(8, 31, 50)",0.8083623003472682,0.2802725884891857
"(8, 31, 51)",0.8083623003472671,0.2802722559475874
"(9, 26, 31)",0.8083623003472684,0.28027215144170003
"(9, 26, 32)",0.8083623003472679,0.28027254630038123
"(9, 26, 33)",0.8083623003472687,0.2802726200345298
"(9, 26, 34)",0.808362300347266,0.28027269484178574
"(9, 26, 35)",0.8083623003472677,0.2802724972964332
"(9, 26, 36)",0.8083623003472684,0.2802722681990081
"(9, 26, 37)",0.8083623003472685,0.28027254696868187
"(9, 26, 38)",0.8083623003472687,0.28027287355048713
"(9, 26, 44)",0.8083623003472674,0.2802726947897223
"(9, 27, 31)",0.8083623003472681,0.2802724484335676
"(9, 27, 32)",0.8083623003472675,0.28027278902677033
"(9, 27, 33)",0.8083623003472686,0.2802726208057781
"(9, 27, 34)",0.8083623003472686,0.28027261885570276
