voxel,best_pca_text,best_pca_audio,score
"(6, 33, 39)",0.5,0.5,-0.022183075452990142
"(6, 34, 38)",0.5,0.5,-0.019510149468700465
"(7, 31, 47)",0.5,0.5,-0.019782805758240186
"(7, 31, 48)",0.5,0.5,-0.024378886332476292
"(7, 32, 47)",0.5,0.5,-0.015271494338704495
"(7, 32, 48)",0.5,0.5,-0.01562904809498138
"(7, 32, 49)",0.5,0.5,-0.017242798571912177
"(7, 32, 50)",0.5,0.5,-0.024730137689953136
"(8, 27, 32)",0.5,0.5,-0.00887477494466531
"(8, 27, 33)",0.5,0.5,-0.021677946141533223
"(8, 28, 32)",0.5,0.5,-0.02684502244413687
"(8, 28, 33)",0.5,0.5,-0.015152187893167635
"(8, 28, 34)",0.5,0.5,-0.008868100922285006
"(8, 28, 36)",0.5,0.5,-0.02315820986332704
"(8, 28, 37)",0.5,0.5,-0.02346421923070774
"(8, 28, 38)",0.5,0.5,-0.026015868913872642
"(8, 28, 43)",0.5,0.5,-0.023978714997488205
"(8, 28, 44)",0.5,0.5,-0.03666034620339227
"(8, 28, 45)",0.5,0.5,-0.028126951553191847
"(8, 28, 46)",0.5,0.5,-0.02451506343068801
"(8, 29, 32)",0.5,0.5,-0.03410757895557022
"(8, 29, 33)",0.5,0.5,-0.027113365782698427
"(8, 29, 34)",0.5,0.5,-0.018075630995000445
"(8, 29, 38)",0.5,0.5,-0.02220785010293076
"(8, 29, 39)",0.5,0.5,-0.011734208051021988
"(8, 29, 43)",0.5,0.5,-0.02207961008927346
"(8, 29, 44)",0.5,0.5,-0.017500482006945782
"(8, 29, 45)",0.5,0.5,-0.023816521061392582
"(8, 29, 46)",0.5,0.5,-0.012349833759282692
"(8, 29, 47)",0.5,0.5,-0.03840917904062415
"(8, 29, 48)",0.5,0.5,-0.015877694268605903
"(8, 29, 49)",0.5,0.5,-0.01472342604943524
"(8, 30, 32)",0.5,0.5,-0.015636314536103767
"(8, 30, 33)",0.5,0.5,-0.010391096342553063
"(8, 30, 34)",0.5,0.5,-0.02664125300940363
"(8, 30, 38)",0.5,0.5,-0.0297516154120137
"(8, 30, 39)",0.5,0.5,-0.025516812900393492
"(8, 30, 47)",0.5,0.5,-0.03443919692915927
