X,Y,Z
6,33,39
6,34,38
7,31,47
7,31,48
7,32,47
7,32,48
7,32,49
7,32,50
8,27,32
8,27,33
8,28,32
8,28,33
8,28,34
8,28,36
8,28,37
8,28,38
8,28,43
8,28,44
8,28,45
8,28,46
8,29,32
8,29,33
8,29,34
8,29,38
8,29,39
8,29,43
8,29,44
8,29,45
8,29,46
8,29,47
8,29,48
8,29,49
8,30,32
8,30,33
8,30,34
8,30,38
8,30,39
8,30,47
8,30,48
8,30,49
8,30,50
8,30,51
8,31,33
8,31,48
8,31,49
8,31,50
8,31,51
9,26,31
9,26,32
9,26,33
9,26,34
9,26,35
9,26,36
9,26,37
9,26,38
9,26,44
9,27,31
9,27,32
9,27,33
9,27,34
9,27,35
9,27,36
9,27,37
9,27,43
9,27,44
9,27,45
9,27,46
9,27,47
9,27,48
9,27,49
9,28,31
9,28,32
9,28,33
9,28,34
9,28,35
9,28,37
9,28,39
9,28,46
9,28,47
9,28,48
9,28,49
9,28,50
9,28,51
9,29,31
9,29,32
9,29,33
9,29,34
9,29,35
9,29,38
9,29,39
9,29,48
9,29,49
9,29,50
9,29,51
9,29,52
9,29,53
9,29,54
9,30,32
9,30,33
9,30,34
9,30,52
9,30,53
9,30,54
9,30,55
9,31,54
9,31,55
9,34,38
9,35,37
9,36,35
9,36,36
9,37,34
9,37,35
9,38,34
10,24,37
10,24,38
10,25,31
10,25,32
10,25,33
10,25,34
10,25,35
10,25,36
10,25,37
10,25,38
10,25,39
10,25,43
10,25,44
10,25,45
10,25,46
10,26,30
10,26,31
10,26,32
10,26,33
10,26,34
10,26,35
10,26,43
10,26,44
10,26,45
10,26,46
10,26,47
10,26,48
10,26,49
10,27,30
10,27,31
10,27,32
10,27,33
10,27,34
10,27,46
10,27,47
10,27,48
10,27,49
10,27,50
10,27,51
10,27,52
10,27,53
10,28,31
10,28,32
10,28,33
10,28,34
10,28,48
10,28,52
10,28,53
10,28,54
10,29,31
10,29,32
10,29,33
10,29,34
10,29,53
10,29,54
10,29,55
10,30,34
10,30,55
10,30,56
10,31,56
10,34,37
10,34,38
10,35,37
10,36,34
10,36,35
10,36,36
10,37,34
10,37,35
10,38,33
10,38,34
10,38,35
10,39,34
11,23,33
11,23,34
11,23,35
11,23,36
11,23,42
11,23,43
11,23,44
11,23,45
11,23,46
11,24,31
11,24,32
11,24,33
11,24,34
11,24,35
11,24,36
11,24,37
11,24,38
11,24,39
11,24,42
11,24,43
11,24,44
11,24,45
11,24,46
11,24,47
11,24,48
11,24,49
11,25,31
11,25,32
11,25,33
11,25,34
11,25,35
11,25,36
11,25,37
11,25,38
11,25,39
11,25,40
11,25,44
11,25,45
11,25,46
11,25,47
11,25,48
11,25,49
11,25,50
11,25,51
11,26,30
11,26,31
11,26,32
11,26,33
11,26,34
11,26,35
11,26,44
11,26,45
11,26,46
11,26,47
11,26,48
11,26,49
11,26,50
11,26,51
11,26,52
11,26,53
11,27,30
11,27,31
11,27,32
11,27,33
11,27,34
11,27,35
11,27,45
11,27,46
11,27,47
11,27,48
11,27,52
11,27,53
11,27,54
11,27,55
11,28,31
11,28,32
11,28,33
11,28,47
11,28,54
11,28,55
11,28,56
11,29,31
11,29,32
11,29,33
11,29,56
11,29,57
11,30,32
11,30,33
11,30,57
11,33,38
11,34,37
11,34,38
11,35,36
11,35,37
11,35,38
11,36,34
11,36,35
11,36,36
11,37,33
11,37,34
11,37,35
11,38,33
11,38,34
11,38,35
11,39,33
11,39,34
11,39,35
11,40,32
11,40,33
11,40,34
11,41,32
11,41,33
12,21,35
12,21,36
12,22,33
12,22,34
12,22,35
12,22,36
12,22,37
12,22,42
12,22,43
12,22,44
12,22,45
12,22,46
12,22,47
12,22,48
12,23,32
12,23,33
12,23,34
12,23,35
12,23,36
12,23,37
12,23,42
12,23,43
12,23,44
12,23,45
12,23,46
12,23,47
12,23,48
12,23,49
12,24,32
12,24,33
12,24,34
12,24,35
12,24,36
12,24,37
12,24,38
12,24,42
12,24,43
12,24,44
12,24,45
12,24,46
12,24,47
12,24,48
12,24,49
12,24,50
12,24,51
12,25,31
12,25,32
12,25,33
12,25,34
12,25,38
12,25,39
12,25,43
12,25,44
12,25,45
12,25,46
12,25,47
12,25,48
12,25,49
12,25,50
12,25,51
12,25,52
12,26,30
12,26,31
12,26,32
12,26,33
12,26,34
12,26,43
12,26,44
12,26,45
12,26,46
12,26,47
12,26,48
12,26,49
12,26,50
12,26,54
12,26,55
12,27,30
12,27,31
12,27,32
12,27,33
12,27,34
12,27,37
12,27,38
12,27,44
12,27,45
12,27,46
12,27,47
12,27,48
12,27,49
12,27,55
12,27,56
12,28,30
12,28,31
12,28,32
12,28,33
12,28,37
12,28,38
12,28,39
12,28,46
12,28,47
12,28,48
12,28,56
12,28,57
12,29,30
12,29,31
12,29,32
12,29,57
12,29,58
12,30,31
12,30,32
12,30,58
12,33,38
12,34,35
12,34,36
12,34,37
12,34,38
12,34,39
12,35,34
12,35,35
12,35,36
12,35,37
12,35,38
12,36,33
12,36,34
12,36,35
12,36,36
12,36,37
12,37,33
12,37,34
12,37,35
12,37,36
12,38,32
12,38,33
12,38,34
12,38,35
12,38,36
12,39,32
12,39,33
12,39,34
12,39,35
12,40,32
12,40,33
12,40,34
12,41,32
12,41,33
13,20,43
13,21,34
13,21,35
13,21,42
13,21,43
13,21,44
13,21,45
13,21,46
13,21,47
13,21,48
13,22,31
13,22,32
13,22,33
13,22,34
13,22,35
13,22,36
13,22,42
13,22,43
13,22,44
13,22,45
13,22,46
13,22,47
13,22,48
13,22,49
13,22,50
13,23,32
13,23,33
13,23,34
13,23,35
13,23,36
13,23,42
13,23,43
13,23,44
13,23,45
13,23,46
13,23,47
13,23,48
13,23,49
13,23,50
13,23,51
13,23,52
13,24,33
13,24,34
13,24,35
13,24,36
13,24,41
13,24,42
13,24,43
13,24,44
13,24,45
13,24,46
13,24,47
13,24,48
13,24,49
13,24,50
13,24,51
13,24,52
13,25,41
13,25,42
13,25,43
13,25,44
13,25,45
13,25,46
13,25,47
13,25,48
13,25,49
13,25,50
13,25,51
13,25,53
13,25,54
13,25,55
13,26,30
13,26,31
13,26,32
13,26,42
13,26,43
13,26,44
13,26,45
13,26,46
13,26,47
13,26,48
13,26,49
13,26,50
13,26,54
13,26,55
13,26,56
13,27,28
13,27,29
13,27,30
13,27,31
13,27,32
13,27,33
13,27,37
13,27,38
13,27,39
13,27,43
13,27,44
13,27,45
13,27,46
13,27,47
13,27,48
13,27,49
13,27,50
13,27,56
13,27,57
13,28,27
13,28,28
13,28,29
13,28,30
13,28,31
13,28,32
13,28,33
13,28,36
13,28,37
13,28,38
13,28,39
13,28,44
13,28,45
13,28,46
13,28,47
13,28,48
13,28,57
13,28,58
13,29,27
13,29,28
13,29,29
13,29,30
13,29,31
13,29,32
13,29,57
13,29,58
13,29,59
13,30,28
13,30,29
13,30,30
13,33,37
13,33,38
13,34,35
13,34,36
13,34,37
13,34,38
13,34,39
13,35,34
13,35,35
13,35,36
13,35,37
13,35,38
13,35,39
13,36,34
13,36,35
13,36,36
13,36,37
13,36,38
13,37,33
13,37,34
13,37,35
13,37,36
13,38,32
13,38,33
13,38,34
13,38,35
13,39,31
13,39,32
13,39,33
13,39,34
13,39,35
13,40,31
13,40,32
13,40,33
13,40,34
13,41,31
13,41,32
13,41,33
13,42,31
13,42,32
14,18,37
14,18,38
14,19,37
14,19,38
14,19,39
14,19,40
14,19,41
14,19,42
14,19,43
14,19,44
14,19,45
14,20,42
14,20,43
14,20,44
14,20,45
14,20,46
14,20,47
14,20,48
14,21,30
14,21,31
14,21,34
14,21,35
14,21,43
14,21,44
14,21,45
14,21,46
14,21,47
14,21,48
14,21,49
14,21,50
14,22,29
14,22,30
14,22,31
14,22,32
14,22,35
14,22,44
14,22,45
14,22,46
14,22,47
14,22,48
14,22,49
14,22,50
14,22,51
14,22,52
14,23,29
14,23,30
14,23,31
14,23,32
14,23,33
14,23,43
14,23,44
14,23,45
14,23,46
14,23,47
14,23,48
14,23,49
14,23,50
14,23,51
14,23,52
14,23,53
14,23,54
14,24,29
14,24,30
14,24,31
14,24,32
14,24,33
14,24,34
14,24,35
14,24,36
14,24,40
14,24,41
14,24,42
14,24,43
14,24,44
14,24,45
14,24,46
14,24,47
14,24,48
14,24,49
14,24,50
14,24,51
14,24,52
14,24,53
14,24,54
14,24,55
14,25,29
14,25,30
14,25,31
14,25,32
14,25,33
14,25,34
14,25,35
14,25,36
14,25,37
14,25,39
14,25,40
14,25,41
14,25,42
14,25,43
14,25,44
14,25,45
14,25,46
14,25,47
14,25,48
14,25,49
14,25,50
14,25,51
14,25,53
14,25,54
14,25,55
14,25,56
14,26,30
14,26,31
14,26,37
14,26,38
14,26,39
14,26,40
14,26,41
14,26,42
14,26,43
14,26,44
14,26,46
14,26,47
14,26,48
14,26,49
14,26,54
14,26,55
14,26,56
14,26,57
14,27,27
14,27,28
14,27,29
14,27,30
14,27,31
14,27,32
14,27,37
14,27,38
14,27,39
14,27,40
14,27,43
14,27,44
14,27,45
14,27,46
14,27,47
14,27,48
14,27,56
14,27,57
14,27,58
14,28,26
14,28,27
14,28,28
14,28,29
14,28,30
14,28,31
14,28,38
14,28,39
14,28,44
14,28,45
14,28,46
14,28,47
14,28,48
14,28,56
14,28,57
14,28,58
14,28,59
14,29,26
14,29,27
14,29,28
14,29,29
14,29,30
14,29,31
14,29,44
14,29,45
14,29,46
14,29,47
14,29,57
14,29,58
14,29,59
14,30,26
14,30,27
14,30,28
14,30,29
14,30,30
14,31,26
14,31,27
14,31,28
14,31,29
14,31,30
14,32,28
14,32,29
14,33,37
14,34,33
14,34,34
14,34,35
14,34,36
14,34,37
14,34,38
14,34,39
14,35,33
14,35,34
14,35,35
14,35,36
14,35,37
14,35,38
14,36,33
14,36,34
14,36,35
14,36,36
14,37,33
14,37,34
14,37,35
14,38,32
14,38,33
14,38,34
14,38,35
14,39,31
14,39,32
14,39,33
14,39,34
14,39,35
14,40,31
14,40,32
14,40,33
14,40,34
14,41,31
14,41,32
14,41,33
14,42,31
14,42,32
15,17,36
15,17,37
15,17,38
15,17,39
15,17,40
15,18,37
15,18,38
15,18,39
15,18,40
15,18,41
15,18,42
15,18,43
15,18,45
15,19,38
15,19,39
15,19,43
15,19,44
15,19,45
15,19,46
15,19,47
15,19,48
15,20,43
15,20,44
15,20,45
15,20,46
15,20,47
15,20,48
15,20,49
15,20,50
15,21,44
15,21,45
15,21,46
15,21,47
15,21,48
15,21,49
15,21,50
15,21,51
15,22,30
15,22,31
15,22,32
15,22,45
15,22,46
15,22,47
15,22,48
15,22,49
15,22,50
15,22,51
15,22,52
15,22,53
15,23,30
15,23,31
15,23,32
15,23,45
15,23,46
15,23,47
15,23,48
15,23,49
15,23,50
15,23,51
15,23,52
15,23,53
15,23,54
15,23,55
15,24,30
15,24,31
15,24,32
15,24,33
15,24,40
15,24,41
15,24,42
15,24,43
15,24,44
15,24,46
15,24,47
15,24,48
15,24,49
15,24,50
15,24,51
15,24,52
15,24,53
15,24,54
15,24,55
15,24,56
15,25,29
15,25,30
15,25,31
15,25,32
15,25,33
15,25,39
15,25,40
15,25,41
15,25,42
15,25,43
15,25,44
15,25,46
15,25,47
15,25,48
15,25,53
15,25,54
15,25,55
15,25,56
15,25,57
15,26,28
15,26,29
15,26,30
15,26,31
15,26,32
15,26,40
15,26,41
15,26,42
15,26,43
15,26,44
15,26,47
15,26,54
15,26,55
15,26,56
15,26,57
15,26,58
15,27,27
15,27,28
15,27,30
15,27,31
15,27,39
15,27,40
15,27,41
15,27,42
15,27,43
15,27,46
15,27,47
15,27,55
15,27,56
15,27,57
15,27,58
15,27,59
15,28,26
15,28,27
15,28,28
15,28,29
15,28,30
15,28,31
15,28,39
15,28,40
15,28,43
15,28,44
15,28,45
15,28,46
15,28,47
15,28,56
15,28,57
15,28,58
15,28,59
15,28,60
15,29,26
15,29,27
15,29,28
15,29,29
15,29,30
15,29,31
15,29,32
15,29,40
15,29,44
15,29,45
15,29,46
15,29,57
15,29,58
15,29,59
15,29,60
15,30,25
15,30,26
15,30,27
15,30,28
15,30,29
15,30,30
15,30,31
15,30,60
15,30,61
15,31,25
15,31,26
15,31,27
15,31,28
15,31,29
15,31,30
15,31,31
15,31,33
15,31,34
15,32,26
15,32,27
15,32,28
15,32,29
15,32,30
15,32,31
15,32,32
15,32,33
15,32,34
15,32,35
15,32,36
15,33,28
15,33,33
15,33,34
15,33,35
15,33,36
15,33,37
15,33,38
15,34,33
15,34,34
15,34,35
15,34,36
15,34,37
15,34,38
15,34,39
15,35,33
15,35,34
15,35,35
15,35,36
15,35,37
15,35,38
15,36,33
15,36,34
15,36,35
15,36,36
15,36,37
15,37,33
15,37,34
15,37,35
15,37,36
15,38,32
15,38,33
15,38,34
15,38,35
15,38,36
15,39,32
15,39,33
15,39,34
15,39,35
15,40,32
15,40,33
15,40,34
15,41,32
15,41,33
15,42,31
15,42,32
15,46,35
15,46,36
15,46,37
15,48,32
15,48,38
15,49,32
15,49,37
15,49,38
15,49,39
15,50,37
15,50,38
15,50,39
15,51,36
15,51,37
15,51,38
15,51,39
15,52,35
15,52,36
15,52,37
15,54,38
15,54,39
15,55,37
15,55,38
16,16,37
16,16,38
16,17,43
16,18,37
16,18,43
16,18,44
16,18,45
16,18,46
16,18,47
16,18,48
16,19,37
16,19,38
16,19,44
16,19,45
16,19,46
16,19,47
16,19,48
16,19,49
16,19,50
16,20,43
16,20,44
16,20,45
16,20,49
16,20,50
16,20,51
16,21,41
16,21,42
16,21,43
16,21,44
16,21,45
16,21,46
16,21,47
16,21,48
16,21,49
16,21,50
16,21,51
16,21,52
16,22,45
16,22,46
16,22,47
16,22,48
16,22,49
16,22,50
16,22,51
16,22,52
16,22,53
16,22,54
16,22,55
16,23,31
16,23,32
16,23,46
16,23,47
16,23,48
16,23,49
16,23,50
16,23,51
16,23,52
16,23,53
16,23,54
16,23,55
16,23,56
16,24,31
16,24,32
16,24,52
16,24,53
16,24,54
16,24,55
16,24,56
16,24,57
16,25,30
16,25,31
16,25,32
16,25,41
16,25,42
16,25,43
16,25,44
16,25,45
16,25,53
16,25,54
16,25,55
16,25,56
16,25,57
16,25,58
16,26,28
16,26,30
16,26,31
16,26,32
16,26,41
16,26,42
16,26,43
16,26,44
16,26,45
16,26,55
16,26,56
16,26,57
16,26,58
16,26,59
16,27,27
16,27,28
16,27,31
16,27,32
16,27,41
16,27,42
16,27,43
16,27,56
16,27,57
16,27,58
16,27,59
16,27,60
16,28,27
16,28,28
16,28,29
16,28,30
16,28,31
16,28,32
16,28,38
16,28,39
16,28,40
16,28,41
16,28,56
16,28,57
16,28,58
16,28,59
16,28,60
16,29,26
16,29,27
16,29,28
16,29,29
16,29,30
16,29,31
16,29,32
16,29,33
16,29,37
16,29,38
16,29,39
16,29,40
16,29,43
16,29,44
16,29,45
16,29,57
16,29,58
16,29,59
16,29,60
16,29,61
16,30,26
16,30,27
16,30,28
16,30,29
16,30,30
16,30,31
16,30,32
16,30,33
16,30,34
16,30,35
16,30,36
16,30,37
16,30,38
16,30,58
16,30,59
16,30,60
16,30,61
16,31,25
16,31,26
16,31,27
16,31,28
16,31,29
16,31,34
16,31,35
16,31,36
16,31,37
16,31,38
16,31,60
16,31,61
16,32,25
16,32,26
16,32,27
16,32,28
16,32,34
16,32,35
16,32,36
16,32,37
16,32,38
16,32,39
16,33,25
16,33,26
16,33,27
16,33,35
16,33,36
16,33,37
16,33,38
16,33,39
16,33,40
16,34,35
16,34,36
16,34,37
16,34,38
16,34,39
16,34,40
16,35,35
16,35,36
16,35,37
16,35,38
16,35,39
16,35,40
16,36,34
16,36,35
16,36,36
16,36,37
16,36,38
16,36,39
16,37,34
16,37,35
16,37,36
16,37,37
16,37,38
16,38,33
16,38,34
16,38,35
16,38,36
16,39,33
16,39,34
16,39,35
16,40,32
16,40,33
16,40,34
16,40,35
16,41,32
16,41,33
16,41,34
16,42,32
16,42,33
16,43,32
16,44,37
16,44,38
16,44,39
16,44,41
16,44,42
16,45,34
16,45,35
16,45,36
16,45,37
16,45,38
16,45,39
16,46,32
16,46,33
16,46,34
16,46,35
16,46,36
16,46,37
16,46,38
16,46,39
16,47,31
16,47,32
16,47,33
16,47,34
16,47,36
16,47,37
16,47,38
16,47,39
16,48,31
16,48,32
16,48,33
16,48,34
16,48,35
16,48,36
16,48,37
16,48,38
16,48,39
16,48,40
16,48,41
16,49,31
16,49,32
16,49,33
16,49,34
16,49,35
16,49,36
16,49,37
16,49,38
16,49,39
16,49,40
16,49,41
16,50,31
16,50,32
16,50,33
16,50,34
16,50,35
16,50,36
16,50,37
16,50,38
16,50,39
16,50,40
16,50,41
16,51,31
16,51,32
16,51,33
16,51,34
16,51,35
16,51,36
16,51,37
16,51,38
16,51,39
16,51,40
16,51,41
16,52,31
16,52,32
16,52,33
16,52,34
16,52,35
16,52,36
16,52,37
16,52,38
16,52,39
16,52,40
16,52,41
16,53,32
16,53,33
16,53,34
16,53,35
16,53,36
16,53,37
16,53,38
16,53,39
16,53,40
16,53,41
16,54,32
16,54,33
16,54,34
16,54,35
16,54,36
16,54,37
16,54,38
16,54,39
16,54,40
16,55,32
16,55,33
16,55,34
16,55,35
16,55,36
16,55,37
16,55,38
16,55,39
16,56,32
16,56,33
16,56,34
16,56,35
16,56,36
16,56,37
16,56,38
16,57,33
16,57,34
16,57,35
16,57,36
16,57,37
16,58,33
16,58,34
16,58,35
16,58,36
16,59,32
16,59,33
16,59,34
16,60,32
16,60,33
17,15,36
17,15,37
17,17,34
17,17,35
17,17,43
17,17,44
17,17,45
17,17,46
17,17,47
17,17,48
17,18,35
17,18,36
17,18,37
17,18,47
17,18,48
17,18,49
17,19,36
17,19,37
17,19,38
17,19,44
17,19,49
17,19,50
