voxel,with_base_score,without_base_score
"(5, 32, 36)",0.608734736094274,0.31478168195232203
"(5, 33, 36)",0.6087347360942745,0.31478171659426135
"(5, 33, 37)",0.6087347360942741,0.3147818457763518
"(5, 34, 37)",0.6087347360942743,0.3147818076229768
"(5, 34, 38)",0.6087347360942743,0.314781834304115
"(6, 31, 36)",0.6087347360942744,0.3147817426561409
"(6, 31, 37)",0.6087347360942744,0.3147818164483289
"(6, 31, 43)",0.6087347360942741,0.3147816898745528
"(6, 31, 44)",0.6087347360942743,0.31478171208521366
"(6, 31, 45)",0.6087347360942741,0.31478174605471676
