voxel,best_pca_text,best_pca_audio,score
"(11, 28, 34)",0.5,0.5,0.8684285003680742
"(11, 28, 35)",0.5,0.5,0.8687780986213387
"(11, 29, 33)",0.5,0.5,0.8683887589127638
"(11, 29, 34)",0.5,0.5,0.8679897000428751
"(11, 29, 35)",0.5,0.5,0.8649742819720305
"(11, 29, 36)",0.5,0.5,0.8517634910758355
"(11, 30, 33)",0.5,0.5,0.8528225341612293
"(11, 30, 34)",0.5,0.5,0.8495058451390582
"(11, 30, 35)",0.5,0.5,0.8573760070710339
"(11, 31, 33)",0.5,0.5,0.8232908189096675
"(11, 31, 34)",0.5,0.5,0.8254495159746951
"(12, 27, 32)",0.5,0.5,0.8228967624700718
"(12, 27, 33)",0.5,0.5,0.8226756911333452
"(12, 27, 34)",0.5,0.5,0.8874356140302169
"(12, 27, 35)",0.5,0.5,0.8864886904700965
"(12, 28, 32)",0.5,0.5,0.8874260441412856
"(12, 28, 33)",0.5,0.5,0.8893357478891541
"(12, 28, 34)",0.5,0.5,0.8595212079223182
"(12, 28, 35)",0.5,0.5,0.8587488205302243
"(12, 28, 36)",0.5,0.5,0.8577557392854814
"(12, 28, 37)",0.5,0.5,0.8613180658788064
"(12, 29, 32)",0.5,0.5,0.8233631102540123
"(12, 29, 33)",0.5,0.5,0.8247394909281505
"(12, 29, 34)",0.5,0.5,0.8249165580157618
"(12, 29, 35)",0.5,0.5,0.8241686547530008
"(12, 29, 36)",0.5,0.5,0.8424928895042111
"(12, 30, 32)",0.5,0.5,0.8380158055958276
"(12, 30, 33)",0.5,0.5,0.8412379791460459
"(12, 30, 34)",0.5,0.5,0.8409651087194593
"(12, 30, 39)",0.5,0.5,0.8695781049161772
"(12, 30, 40)",0.5,0.5,0.8681560999441513
"(12, 31, 33)",0.5,0.5,0.872708211507544
"(12, 35, 35)",0.5,0.5,0.8684662502671074
"(12, 35, 36)",0.5,0.5,0.8193380455404877
"(12, 35, 37)",0.5,0.5,0.813527420115053
"(12, 36, 35)",0.5,0.5,0.816452170099301
"(12, 36, 36)",0.5,0.5,0.8187875795194746
"(12, 36, 37)",0.5,0.5,0.8495635937711666
"(12, 37, 35)",0.5,0.5,0.7952862977536352
"(12, 37, 36)",0.5,0.5,0.7915138879957774
"(12, 38, 35)",0.5,0.5,0.7935001885471655
"(12, 38, 36)",0.5,0.5,0.8009573103733085
"(12, 39, 34)",0.5,0.5,0.8033803062097805
"(12, 39, 35)",0.5,0.5,0.8060422305676347
"(12, 40, 34)",0.5,0.5,0.8070969721859939
"(12, 40, 35)",0.5,0.5,0.8147245272842655
"(12, 41, 34)",0.5,0.5,0.8138137988134305
"(13, 26, 32)",0.5,0.5,0.8103232134511904
"(13, 26, 33)",0.5,0.5,0.8120795054793348
"(13, 26, 34)",0.5,0.5,0.8181853566169888
"(13, 26, 35)",0.5,0.5,0.8243409476016813
"(13, 26, 36)",0.5,0.5,0.8230856504310111
"(13, 27, 31)",0.5,0.5,0.8213624509561896
"(13, 27, 32)",0.5,0.5,0.707230748287818
"(13, 27, 33)",0.5,0.5,0.7026095991676456
"(13, 27, 34)",0.5,0.5,0.7015421065085128
"(13, 27, 35)",0.5,0.5,0.7085585396617298
"(13, 27, 36)",0.5,0.5,0.8810469307383988
"(13, 27, 37)",0.5,0.5,0.8783410748338687
"(13, 28, 31)",0.5,0.5,0.8767540677573722
"(13, 28, 32)",0.5,0.5,0.8786369651530516
"(13, 28, 33)",0.5,0.5,0.7648619638314873
"(13, 28, 34)",0.5,0.5,0.7595754469036043
"(13, 28, 35)",0.5,0.5,0.7639975551543767
"(13, 28, 36)",0.5,0.5,0.7659656712905673
"(13, 28, 37)",0.5,0.5,0.8648811806104835
"(13, 29, 31)",0.5,0.5,0.8646327277487753
"(13, 29, 32)",0.5,0.5,0.8615982734365153
"(13, 29, 33)",0.5,0.5,0.8679492580237576
"(13, 29, 34)",0.5,0.5,0.9049265552805645
"(13, 29, 35)",0.5,0.5,0.9046974598164335
"(13, 30, 31)",0.5,0.5,0.9061454181284094
"(13, 30, 32)",0.5,0.5,0.9042181329725901
"(13, 30, 33)",0.5,0.5,0.9477487287083676
"(13, 30, 34)",0.5,0.5,0.9469235111659107
"(13, 31, 32)",0.5,0.5,0.9467940948241071
"(13, 31, 33)",0.5,0.5,0.9479809819686847
