voxel,best_alpha,score
"(5, 32, 36)",0.5,0.8865335285178088
"(5, 33, 36)",0.5,0.8829479865546258
"(5, 33, 37)",0.5,0.8839308427414533
"(5, 34, 37)",0.5,0.8838051181014054
"(5, 34, 38)",0.5,0.8789429258480874
"(6, 31, 36)",0.5,0.8819709354349907
"(6, 31, 37)",0.1,0.8812894758552765
"(6, 31, 43)",0.5,0.8892705178562655
"(6, 31, 44)",1.0,0.8853728137702597
"(6, 31, 45)",0.5,0.8819484521950696
"(6, 32, 41)",1.0,0.8817395297657378
"(6, 32, 43)",0.5,0.8902272125236829
"(6, 32, 44)",0.5,0.8864418041925208
"(6, 32, 45)",1.0,0.8832684926940388
"(6, 32, 46)",0.1,0.8834338685582559
"(6, 33, 46)",0.5,0.8852106230660063
"(6, 33, 47)",0.5,0.8799116366670328
"(6, 33, 48)",0.1,0.884421694474009
"(6, 34, 46)",0.5,0.8844171733020524
"(6, 34, 47)",0.5,0.88135642858827
"(6, 34, 48)",0.1,0.8843763289041892
"(6, 36, 49)",0.5,0.8831758455374068
"(6, 39, 50)",0.5,0.8860116151130928
"(6, 39, 51)",0.5,0.8849569519270724
"(6, 40, 50)",1.0,0.8817454722778599
"(6, 40, 51)",1.0,0.8830609183137671
"(7, 28, 33)",0.5,0.8878615564500724
"(7, 28, 34)",0.5,0.8816419850764771
"(7, 28, 35)",0.5,0.8863786683291245
"(7, 29, 34)",1.0,0.8772947316013289
"(7, 29, 35)",1.0,0.8856101849567992
"(7, 29, 44)",0.5,0.8836502159555815
"(7, 30, 43)",0.5,0.8825593661842477
"(7, 30, 44)",1.0,0.8840194663576313
"(7, 30, 45)",0.1,0.8900881991021283
"(7, 30, 46)",0.1,0.8848481779992277
"(7, 30, 47)",1.0,0.8832600078006516
"(7, 30, 48)",1.0,0.883440038772784
"(7, 31, 44)",0.5,0.8844314384826278
"(7, 31, 45)",1.0,0.8841517773458873
"(7, 31, 46)",0.5,0.8827654385391043
"(7, 31, 47)",0.5,0.8832224519178787
"(7, 31, 48)",0.5,0.8820921073025844
"(7, 31, 49)",1.0,0.8858999287961339
"(7, 31, 50)",0.5,0.8855055326394796
"(7, 32, 49)",1.0,0.8847561225593242
"(7, 32, 50)",0.5,0.8842042248338038
"(7, 32, 51)",0.1,0.8885220897629276
"(8, 26, 36)",0.5,0.8824770210067647
"(8, 26, 37)",0.5,0.8898812389168136
"(8, 26, 38)",1.0,0.885599780101829
"(8, 27, 31)",0.5,0.8818164994593097
"(8, 27, 32)",0.5,0.882938515782412
"(8, 27, 33)",0.5,0.8864802988862237
"(8, 27, 34)",0.1,0.8860992604122011
"(8, 27, 35)",0.5,0.8832383072245367
"(8, 27, 36)",0.5,0.8849465292336408
"(8, 27, 44)",1.0,0.8847264662960874
"(8, 27, 45)",0.1,0.8866298271146528
"(8, 28, 30)",1.0,0.88411754018088
"(8, 28, 31)",1.0,0.8837782584623772
"(8, 28, 32)",1.0,0.8785361096055384
"(8, 28, 33)",0.5,0.8882880984203709
"(8, 28, 34)",0.5,0.8857742131321306
"(8, 28, 35)",1.0,0.8847225242559414
"(8, 28, 38)",0.5,0.882298864590774
"(8, 28, 43)",0.5,0.8862288969034158
"(8, 28, 44)",0.5,0.8842412691331221
"(8, 28, 45)",1.0,0.8828010349425982
"(8, 28, 46)",0.5,0.8812444201074433
"(8, 28, 47)",0.5,0.8812129752733713
"(8, 29, 30)",0.5,0.8867719411667636
"(8, 29, 31)",1.0,0.8820465675866856
"(8, 29, 32)",0.5,0.8833589731596956
"(8, 29, 33)",1.0,0.8841131937505317
"(8, 29, 34)",0.5,0.8816299424967774
"(8, 29, 47)",0.5,0.8787804474821133
"(8, 29, 48)",0.5,0.8891312062341605
"(8, 29, 49)",0.5,0.8847847163086042
"(8, 30, 30)",0.5,0.8850715864929114
"(8, 30, 31)",0.5,0.8827319821039274
"(8, 30, 32)",0.5,0.8789249698448511
"(8, 30, 33)",0.5,0.8835195502148647
"(8, 30, 50)",0.5,0.883540667458419
"(8, 30, 51)",0.5,0.8857227213829066
"(8, 30, 52)",0.5,0.8860912350118658
"(8, 31, 30)",1.0,0.8817544866233955
"(8, 31, 31)",1.0,0.8827491382769388
"(8, 31, 32)",0.1,0.8801083889455352
"(8, 31, 51)",0.5,0.8830704118406416
"(8, 31, 52)",0.5,0.8825402915288653
"(8, 31, 53)",0.5,0.8834217487516142
"(8, 32, 52)",0.5,0.8833217112392976
"(8, 32, 53)",0.5,0.8850414288153212
"(8, 32, 54)",0.5,0.880698989177298
"(8, 33, 39)",0.5,0.8820654446379754
"(8, 33, 55)",1.0,0.8803322188085791
"(8, 34, 38)",0.5,0.8901368857483838
"(8, 34, 39)",1.0,0.8832386145190853
"(8, 34, 40)",1.0,0.8838569581234701
