voxel,with_base_score,without_base_score
"(5, 32, 36)",0.8243018270652924,0.2776726713494664
"(5, 33, 36)",0.8243018270652922,0.27767261625234085
"(5, 33, 37)",0.8243018270652922,0.27767266863243534
"(5, 34, 37)",0.8243018270652928,0.27767265387713835
"(5, 34, 38)",0.8243018270652921,0.277672833024308
"(6, 31, 36)",0.8243018270652924,0.2776728095053743
"(6, 31, 37)",0.8243018270652922,0.2776727028981314
"(6, 31, 43)",0.8243018270652924,0.2776726913452444
"(6, 31, 44)",0.8243018270652919,0.277672803238862
"(6, 31, 45)",0.824301827065292,0.27767282448651776
"(6, 32, 41)",0.8243018270652926,0.2776728458387838
"(6, 32, 43)",0.8243018270652926,0.27767272002488075
"(6, 32, 44)",0.8243018270652926,0.27767271830005613
"(6, 32, 45)",0.8243018270652923,0.277672636118272
"(6, 32, 46)",0.8243018270652921,0.2776727248774622
"(6, 33, 46)",0.8243018270652923,0.2776727745245633
"(6, 33, 47)",0.8243018270652921,0.277672620988318
"(6, 33, 48)",0.8243018270652921,0.2776725474586318
"(6, 34, 46)",0.8243018270652925,0.2776725939329231
"(6, 34, 47)",0.8243018270652929,0.2776727960889117
"(6, 34, 48)",0.8243018270652925,0.2776727208434355
"(6, 36, 49)",0.8243018270652918,0.2776727733711052
"(6, 39, 50)",0.824301827065292,0.2776726315884992
"(6, 39, 51)",0.8243018270652928,0.2776727128164018
"(6, 40, 50)",0.824301827065292,0.27767274219908733
"(6, 40, 51)",0.8243018270652924,0.2776726413661088
"(7, 28, 33)",0.8243018270652926,0.277672732513648
"(7, 28, 34)",0.824301827065292,0.2776726780982658
"(7, 28, 35)",0.8243018270652926,0.27767268290727365
"(7, 29, 34)",0.8243018270652921,0.27767265542507613
"(7, 29, 35)",0.8243018270652923,0.27767266132147994
"(7, 29, 44)",0.8243018270652924,0.2776726845876958
"(7, 30, 43)",0.8243018270652922,0.2776728109211323
"(7, 30, 44)",0.8243018270652921,0.2776728333643299
"(7, 30, 45)",0.8243018270652923,0.27767267755333036
"(7, 30, 46)",0.8243018270652932,0.27767281840035263
"(7, 30, 47)",0.8243018270652924,0.2776726300356973
"(7, 30, 48)",0.8243018270652922,0.27767272376139385
"(7, 31, 44)",0.8243018270652922,0.27767260043105924
"(7, 31, 45)",0.8243018270652926,0.2776726594138329
"(7, 31, 46)",0.8243018270652919,0.2776727321468213
"(7, 31, 47)",0.8243018270652923,0.27767276802671836
"(7, 31, 48)",0.8243018270652925,0.2776728354917306
"(7, 31, 49)",0.8243018270652922,0.277672653516037
