voxel,best_alpha,score
"(5, 32, 36)",0.1,0.9327961526221195
"(5, 33, 36)",0.1,0.9354490001079453
"(5, 33, 37)",0.1,0.9340796038271535
"(5, 34, 37)",0.1,0.9333847233898677
"(5, 34, 38)",0.1,0.9344949100698031
"(6, 31, 36)",0.1,0.9349306813696971
"(6, 31, 37)",0.1,0.9345344378477934
"(6, 31, 43)",0.1,0.9349226909067732
"(6, 31, 44)",0.1,0.9340017632066473
"(6, 31, 45)",0.1,0.9340316598722218
"(6, 32, 41)",0.1,0.9345861502696536
"(6, 32, 43)",0.1,0.9348482068166801
"(6, 32, 44)",0.1,0.9352448316867671
"(6, 32, 45)",0.1,0.9346515757056102
"(6, 32, 46)",0.1,0.9338672769547376
"(6, 33, 46)",0.1,0.9348404315669143
"(6, 33, 47)",0.1,0.9341536098857952
"(6, 33, 48)",0.1,0.9342551397051311
"(6, 34, 46)",0.1,0.9337210251424253
"(6, 34, 47)",0.1,0.9354210512229155
"(6, 34, 48)",0.1,0.9354150938244381
"(6, 36, 49)",0.1,0.9340344531517728
"(6, 39, 50)",0.1,0.9350427667974929
"(6, 39, 51)",0.1,0.9357503770905898
"(6, 40, 50)",0.1,0.9354941290004086
"(6, 40, 51)",0.1,0.9340980743455549
"(7, 28, 33)",0.1,0.9354382643998346
"(7, 28, 34)",0.1,0.9346519634257027
"(7, 28, 35)",0.1,0.9345621646717117
"(7, 29, 34)",0.1,0.9338687570162894
"(7, 29, 35)",0.1,0.9342445962901383
"(7, 29, 44)",0.1,0.9351824609751856
"(7, 30, 43)",0.1,0.9351028990866034
"(7, 30, 44)",0.1,0.9350054677737344
"(7, 30, 45)",0.1,0.9344998192590019
"(7, 30, 46)",0.1,0.9342627549263287
"(7, 30, 47)",0.1,0.9342877277677768
"(7, 30, 48)",0.1,0.9342567837523991
"(7, 31, 44)",0.1,0.9340172408478591
"(7, 31, 45)",0.1,0.934439435747444
"(7, 31, 46)",0.1,0.93431230010732
"(7, 31, 47)",0.1,0.9340374295448826
"(7, 31, 48)",0.1,0.9341860279293837
"(7, 31, 49)",0.1,0.9353497491412142
"(7, 31, 50)",0.1,0.9355792678114099
"(7, 32, 49)",0.1,0.9335292987720003
"(7, 32, 50)",0.1,0.9324023684840812
"(7, 32, 51)",0.1,0.933243905610796
"(8, 26, 36)",0.1,0.9355380760699548
"(8, 26, 37)",0.1,0.9349642491813593
"(8, 26, 38)",0.1,0.9335459943651708
"(8, 27, 31)",0.1,0.9338026351488496
"(8, 27, 32)",0.1,0.9349802689118943
"(8, 27, 33)",0.1,0.934154794112847
"(8, 27, 34)",0.1,0.9345322272002168
"(8, 27, 35)",0.1,0.935132751319989
"(8, 27, 36)",0.1,0.9343733308776132
"(8, 27, 44)",0.1,0.9332630332949783
"(8, 27, 45)",0.1,0.9352438417214962
"(8, 28, 30)",0.1,0.9350324435790525
"(8, 28, 31)",0.1,0.934554794103381
"(8, 28, 32)",0.1,0.9342032939313416
"(8, 28, 33)",0.1,0.9343282126544981
"(8, 28, 34)",0.1,0.9348620056081807
"(8, 28, 35)",0.1,0.9331739820763326
"(8, 28, 38)",0.1,0.9332899913310726
"(8, 28, 43)",0.1,0.9342104835869831
"(8, 28, 44)",0.1,0.9338749564621492
"(8, 28, 45)",0.1,0.9340940701372421
"(8, 28, 46)",0.1,0.9351769647863145
"(8, 28, 47)",0.1,0.9337725640944943
"(8, 29, 30)",0.1,0.9341535089286832
"(8, 29, 31)",0.1,0.9339570196218812
"(8, 29, 32)",0.1,0.935029187700407
"(8, 29, 33)",0.1,0.9353415336791706
"(8, 29, 34)",0.1,0.9347640498875597
"(8, 29, 47)",0.1,0.9350144173941466
"(8, 29, 48)",0.1,0.9347590369283715
"(8, 29, 49)",0.1,0.9344672400900308
"(8, 30, 30)",0.1,0.9357459375928361
"(8, 30, 31)",0.1,0.9327818111526852
"(8, 30, 32)",0.1,0.9346221524099532
"(8, 30, 33)",0.1,0.9343407259821092
"(8, 30, 50)",0.1,0.9349097857546553
"(8, 30, 51)",0.1,0.9343805636533892
"(8, 30, 52)",0.1,0.9349763183408231
"(8, 31, 30)",0.1,0.9336079444150981
"(8, 31, 31)",0.1,0.934955798572107
"(8, 31, 32)",0.1,0.9364219169479702
"(8, 31, 51)",0.1,0.9353283190221037
"(8, 31, 52)",0.1,0.934324908723333
"(8, 31, 53)",0.1,0.9350405490529907
"(8, 32, 52)",0.1,0.9345841486791941
"(8, 32, 53)",0.1,0.93548768766699
"(8, 32, 54)",0.1,0.9347764371607076
"(8, 33, 39)",0.1,0.9338199344551121
"(8, 33, 55)",0.1,0.93393053906277
"(8, 34, 38)",0.1,0.9354930028591152
"(8, 34, 39)",0.1,0.9348724716041144
"(8, 34, 40)",0.1,0.9349275884632707
